,Smiles_Solute,Smiles_Solvent,Smiles_Merged,LogS,Source
16,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O,O,O=C(NC1CO~O~c2([N+](=O)[O-])ccc(cc2)C1O)C(Cl)Cl,-2.111,Esol
17,c1ccc(cc1)c1c(ccc(c1[N+](=O)[O-])O)[N+](=O)[O-],CCO,CC1~Oc2ccc([N+](=O)[O-])c(-c3ccccc3)c2([N+](=O)[O-])~O1,-0.394128008,BNNLabs
18,OC(=O)C1=CC=CN=C1,CC(=O)C,CC1(C)~OC(=O)(c2cccnc2)~O=1,-1.499232252,BNNLabs
19,Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,CCCCO,CCCC(~OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1)O~S(=O)(=O)(O)c1ccc(C)cc1.Cc1ccc(S(=O)(=O)O)cc1,-3.68193666503724,BigSolDB
20,CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O,CC(C)O,CC(C)(C)OC1(=O)~OC(C)(C)~OC(=O)[C@@H]2CCCN21,-1.0126019008629823,BigSolDB
21,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,O,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC21O~O~C1(C)=O,-3.817,Esol
22,Cc1cccc(Nc2ccccc2C(=O)O)c1C,CC(C)O,Cc1cccc(Nc2ccccc2C2(=O)~OC(C)(C)~O2)c1C,-2.6989700043360187,BigSolDB
23,O=C(O)Cc1ccccc1[N+](=O)[O-],CN(C)C=O,CN1(C)~C(=O)(Cc2ccccc2[N+](=O)[O-])O~C1=O,-0.7449688366544487,BigSolDB
24,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,CN(C)C=O,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C1(=O)~N(C)(C)C(=O)~O1,-0.6621415709589057,BigSolDB
25,[H][C@@](CCSC)(NC(C)=O)C(O)=O,CC(=O)C,CSCC[C@H](NC(C)=O)C1(=O)~O=C(C)(C)~O1,0.188218301,BNNLabs
26,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,O,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC8(=O)~O~O8C7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-4.081,Esol
27,O=C(Nc1ccccc1)c1ccccc1O,CCO,CC1~Oc2ccccc2C(=O)(Nc2ccccc2)~O1,-1.733020812366018,BigSolDB
28,O=C1OC[C@H]2[C@@H]1N(Cc1ccccc1)C(=O)N2Cc1ccccc1,CN(C)C=O,CN1(C)~C2(=O)[C@@H]3[C@H](CO2~C1=O)N(Cc1ccccc1)C(=O)N3Cc1ccccc1,-0.8230410194130919,BigSolDB
29,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 ,O,O=c12~O~Oc(c1C1CCCc3ccccc31)c1ccccc1o2,-2.84,Esol
30,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,CCOC(C)=O,CCO1~C(=O)(Nc2ccccn2)C2=C(O~C1(C)=O)c1sccc1S(=O)(=O)N2C,-3.1681302257194983,BigSolDB
31,COC1=C(NC2=CC(C)=C(C=C2N(=O)=O)N(=O)=O)C=CC=C1,CC(=O)C,Cc1cc2c([N+](=O)[O-])(~O=C(C)(C)~O(C)c3ccccc3N2)cc1[N+](=O)[O-],-0.91579268,BNNLabs
32,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,CC(C)O,CC1(C)~OC(=O)(COC(=O)Cc2ccccc2Nc2c(Cl)cccc2Cl)~O1,-2.224025668870631,BigSolDB
33,CCOC(=O)Cc1c(C(=O)OCC)sc(N)c1C#N,CCOC(C)=O,CCOC1(=O)~O(CC)C(C)(=O)~O(CC)C(=O)Cc2c1sc(N)c2C#N,-1.6261688549261697,BigSolDB
34,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,CC(C)O,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc6ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)(c2cc(OC)c(OC)c(OC)c2)~OC(C)(C)~O6C)[C@@H]1OC,-4.614393726401688,BigSolDB
35,CC[C@@H](C(N)=O)N1CCCC1=O,CC(C)O,CC[C@H](N1CCCC1=O)C1(=O)~OC(C)(C)~N1,-1.940058111938045,BigSolDB
36,Cc1ccc(cc1)OP(=O)(Oc1ccc(C)cc1)Oc1ccc(C)cc1,CCO,Cc1ccc(OP2(=O)(Oc3ccc(C)cc3)~OC(C)~O2c2ccc(C)cc2)cc1,-0.715024726,BNNLabs
37,CN(C)c1ccc(cc1)C(=Nc1ccc(cc1)N)c1ccc(cc1)N(C)C,CCO,CC1~Nc2ccc(cc2)N=C(c2ccc(N(C)C)cc2)(c2ccc(N(C)C)cc2)~O1,-1.921003744,BNNLabs
38,CC(=O)NC1=CC=CC=C1,CC(=O)C,CC1(=O)~O=C(C)(C)~N1c1ccccc1,0.359498417,BNNLabs
39,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,CC(C)=O,CC1(C)~O[C@@]2(CC#N)CC[C@H]3[C@@H]4CCC5=CC(=O)(~O=1)CCC5=C4CC[C@@]32C,-2.33348201944512,BigSolDB
40,O=C(O)c1cccc(O)c1O,CCCCO,CCCC1~Oc2cccc(c2O)C(=O)(O)~O1,-1.1849538239353694,BigSolDB
41,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,O,CO1~O~C(O)(c2cncnc2)(C2CC2)c2ccc1cc2,-2.596,Esol
42,CC(C)(C)Cc1ccccc1,O,CC(C)(C)C1~O~c2ccc1cc2,-4.15,Esol
43,O=N(=O)C1=CC=C(C2=C1C=CC=C2N(=O)=O)N(=O)=O,CC(=O)C,CC1(C)~[O-][N+](=O)c2ccc([N+](=O)[O-])(~O=1)c1c([N+](=O)[O-])cccc21,-0.487933625,BNNLabs
44,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,O,N#Cc1c(Cl)c(Cl)c(Cl)c(C2~O~N#2)c1Cl,-5.64,Esol
45,O=C(O)CC(O)(CC(=O)O)C(=O)O,Cc1ccccc1,O=C(O)CC1(O)CC(=O)O~Cc2ccc(~C1(=O)O)cc2,-1.2464169411070931,BigSolDB
46,CC1(C)CON(Cc2ccccc2Cl)C1=O,O,CC1(C)CON(Cc2ccccc2Cl)C12~O~O=2,-2.338,Esol
47,COc1ccc(C(=O)O)c(OC)c1,CCCCO,CCCC1~O(C)c2ccc(c(OC)c2)C(=O)(O)~O1,-2.065501548756432,BigSolDB
48,O=P12OCC(CO)(CO1)CO2,CCO,CC1~OCC23COP(=O)(~O1)(OC2)OC3,-2.250263684430939,BigSolDB
49,CCC1(CCC(=O)NC1=O)c2ccccc2 ,O,CCC1(c2ccccc2)CCC(=O)N2~O~C21=O,-2.337,Esol
50,CC(C)(CO)[C@@H](C(=O)NCCC(=O)NCCSC(=O)c1cccc2ccccc12)O,CCO,CC1~OCC(C)(C)[C@H](O)C(=O)(NCCC(=O)NCCSC(=O)c2cccc3ccccc23)~O1,-0.880152424,BNNLabs
51,c1ccc(c(c1)C(=O)O)N=Nc1ccc(cc1)O	,CCO,CC1~Oc2ccc(cc2)N=Nc2ccccc2C(=O)(O)~O1,-1.0779113,BNNLabs
52,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,CO,O=C12~OC~OC(=C1O)[C@@H]([C@@H](O)CO)O2,-1.997402019280092,BigSolDB
53,NC(=O)c1ccc([N+](=O)[O-])cc1,O,O=C1N~O~c2([N+](=O)[O-])ccc1cc2,-3.4926839599235864,BigSolDB
54,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl,CCCCO,CCCC1~N(C)(C)C(CC=C2c3ccccc3CCc3ccccc32)~O1.Cl,-1.6924162562944236,BigSolDB
55,OC(=O)CC1=CC=CC2=CC=CC=C12,CC(=O)C,CC1(C)~OC(=O)(Cc2cccc3ccccc23)~O=1,0.516299798,BNNLabs
56,Nc1ccc(Cl)nn1,CN(C)C=O,CN1(C)~c2(Cl)ccc(nn2)N~C1=O,-1.4526277878512477,BigSolDB
57,CC(O)c1ccccc1,O,CC1(c2ccccc2)~O~O1,-0.92,Esol
58,COC(=O)c1c(C)cc(O)c(C)c1O,CCCO,CCC1~Oc2cc(C)c(c(O)c2C)C(=O)(OC)~O1,-1.1493537648169334,BigSolDB
59,O=C1C(=Cc2ccco2)CCC1=Cc1ccco1,O,O=C12~O~o3cccc3C=C1CCC2=Cc1ccco1,-5.154901959985743,BigSolDB
60,CCCCCCC(CCC)(CCC)C(=O)NO,CCO,CCCCCCC(CCC)(CCC)C1(=O)~OC(C)~ON1,0.0,BNNLabs
61,CCCCCCCCCCCCCCCC,CCO,CCCCCCCCC1~OC(C)~CCCCCCC1,-0.123006146,BNNLabs
62,COc1ccc(CN2CCNCC2)c(OC)c1OC.Cl,Cc1ccccc1,COc1c(CN2CCNCC2)ccc2c1(OC)~c1ccc(cc1)C~O2C.Cl,-6.153477331583713,BigSolDB
63,O=C1NC(=O)NC(=O)C1(C)CC,O,CCC1(C)C(=O)NC2(=O)~O~N2C1=O,-1.228,Esol
64,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCO,C=CC(=O)N1~C(CCC)O~S(=O)(=O)(O)CC1(C)C,-2.444905551421681,BigSolDB
65,CCC(CC)CC1(CCO)C(=O)NC(=S)NC1=O,CCO,CCC(CC)CC12CCO~C(C)O~C1(=O)NC(=S)NC2=O,-0.649968662,BNNLabs
66,O=Cc1ccc(C=O)cc1,CC#N,CC1~O=C(c2ccc(C=O)cc2)~N#1,-1.6595558851598815,BigSolDB
67,CCOC(=O)NC(C)(C(=O)O)NC(=O)OCC,CCO,CCOC(=O)NC1(C)NC(=O)(OCC)~OC(C)~OC1=O,0.626228979,BNNLabs
68,NNC(=O)NN.O=[N+]([O-])NC1=NC(C2N=NC(N[N+](=O)[O-])=N2)N=N1,CO,NNC1(=O)~OC~N1N.O=[N+]([O-])NC1=NC(C2N=NC(N[N+](=O)[O-])=N2)N=N1,-3.772113295386327,BigSolDB
69,COc1cc(ccc1O)CC1COC(=O)C1Cc1ccc(c(c1)OC)O,CCO,COc1cc(CC2C3COC2(=O)~OC(C)~Oc2ccc(cc2OC)C3)ccc1O,-0.702872483,BNNLabs
70,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,CO,CCO1~CO~C1(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,-1.8138916201867947,BigSolDB
71,O=P(O)(c1ccccc1)c1ccccc1,CCOC(C)=O,CCO1~P(=O)(c2ccccc2)(c2ccccc2)O~C1(C)=O,-3.283996656365201,BigSolDB
72,O=C(O)c1cccc([N+](=O)[O-])c1O,CC(C)O,CC1(C)~Oc2c([N+](=O)[O-])cccc2C(=O)(O)~O1,-1.5100415205751654,BigSolDB
73,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,CCCCO,CCCC1~O(CC2CC2)c2cc(C(=O)Nc3c(Cl)cncc3Cl)ccc2OC(F)(F)~O1,-4.346787486224656,BigSolDB
74,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,CCCCO,CCCC1~Oc2ccc(cc2)C2CC(=O)(~O1)c1c(O)cc(O)cc1O2,-3.0122890568696943,BigSolDB
75,Cc1cc(C)[nH]n1,CCCO,CCC1~[nH]2nc(C)(~O1)cc2C,-0.9097419470686836,BigSolDB
76,CC(=O)Nc1ccc(O)cc1,CCCCO,CCCC1~Oc2ccc(cc2)NC(C)(=O)~O1,-1.438898616350944,BigSolDB
77,Sc1nc2ccccc2[nH]1,CCCO,CCC1~[nH]2c3ccccc3nc2(S)~O1,-2.315154638355588,BigSolDB
78,Cc1cccc(C(=O)O)c1N,CCCCO,CCCC1~OC(=O)(c2cccc(C)c2N)~O1,-1.931072388317928,BigSolDB
79,O=C1Nc2ccccc2C1=O,CCOC(C)=O,CCO1~C2(=O)C(=O)c3ccccc3N2~C1(C)=O,-2.376068782504467,BigSolDB
80,CC(=O)NCC(=O)O,CO,CC(=O)NCC1(=O)~OC~O1,-2.352910571283445,BigSolDB
81,c1ccc(CSSCc2ccccc2)cc1,Cc1ccccc1,c1ccc(CSS2~Cc3ccc(~C2c2ccccc2)cc3)cc1,-1.283078926833239,BigSolDB
82,c1ccc2c(c1)sc1ccccc12,CO,c1ccc2c(c1)c1ccccc13~OC~s23,-2.8989406450918844,BigSolDB
83,c1ccc(cc1)C(c1ccccc1)(C(=O)NNS(=O)(=O)c1ccccc1)O,CCO,CC1~OC(c2ccccc2)(c2ccccc2)C(=O)(NNS(=O)(=O)c2ccccc2)~O1,-0.71333159,BNNLabs
84,CN1CC[C@]23[C@H]4CC[C@@H]([C@@H]3Oc3c(ccc(C[C@@H]14)c23)OC)O,CCO,CC1~O(C)c2ccc3c4c2(~O1)O[C@H]1[C@@H](O)CC[C@H]2[C@@H](C3)N(C)CC[C@@]421,-0.456942235,BNNLabs
85,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,O,CC1=C(C2(=O)~O~O2)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,-2.943095148663528,BigSolDB
86,O=C1Nc2ccccc2C1=O,CC(C)O,CC1(C)~N2c3ccccc3C(=O)C2(=O)~O1,-2.377785977033705,BigSolDB
87,CN(C)C(=O)NC1CCCCCCC1,O,CN(C)C1(=O)~O~N1C1CCCCCCC1,-2.218,Esol
88,O=C1O\C(=N\C2=C(C=CC=C2)N(=O)=O)C2=CC=CC=C12,CC(=O)C,CC1(C)~O2/C(=N/c3ccccc3[N+](=O)[O-])c3ccccc3C2(=O)~O=1,-0.616930725,BNNLabs
89,Nc1cc(Cl)ccc1C(=O)O,C1COCCO1,Nc1cc(Cl)ccc1C1(=O)~O2CCOC(~O1)C2,-1.8007935208383423,BigSolDB
90,CC(=C(c1ccccc1)O)C(=O)c1ccccc1,CCO,CC1=C(c2ccccc2)O~C(C)O~C1(=O)c1ccccc1,-1.289524726,BNNLabs
91,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,CO,O=[N+]([O-])c12~OC~Nc(c(Cl)c1)c(Cl)c2,-3.151564544668529,BigSolDB
92,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,O,CCCCNC(=O)n1c(NC2(=O)~O~O2C)nc2ccccc21,-4.883,Esol
93,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 ,O,CCCCC1C2=O~O~C1(=O)N(c1ccccc1)N2c1ccccc1,-3.81,Esol
94,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2S1=O,CCOC(C)=O,CCO1~C(=O)([C@@H]2N3C(=O)[C@@H](NC(=O)Cc4ccccc4)[C@H]3S(=O)C2(C)C)O~C1(C)=O,-2.6762942423822915,BigSolDB
95,CCc1ccc(C(=O)c2ccccc2C(=O)O)cc1,CO,CCc1ccc(C(=O)c2ccccc2C2(=O)~OC~O2)cc1,-1.2027324591692836,BigSolDB
96,C1Cc2c3c1cccc3cc4c2ccc5ccccc54,O,c1cc2c3c(c4ccc5cc6~O~c4(cc3c1)c5cc6)CC2,-7.85,Esol
97,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21.[Na+],CCCCO,CCCC(~O=C([O-])C1=C(CSc2nnnn2C)CS[C@H]2N1C(=O)[C@]2(NC(=O)CSCC#N)OC)O~[Na+],-4.30715308072277,BigSolDB
98,NC1=C(NC2=CC=CC=C2)C=CC(Cl)=C1,CC(=O)C,CC1(C)~Nc2cc(Cl)ccc2(Nc2ccccc2)~O=1,0.327631972,BNNLabs
99,Cc1nc(CCl)nc2ccccc12,CCOC(C)=O,CCO1~c2(CCl)nc3ccccc3c(C)n2~C1(C)=O,-0.9783146477842944,BigSolDB
100,O=C1C2=CC(=CC(=C2C2=C1C=C(C=C2)N(=O)=O)N(=O)=O)N(=O)=O,CC(=O)C,CC1(C)~O=C2c3cc([N+](=O)[O-])ccc3-c3c2cc([N+](=O)[O-])cc3([N+](=O)[O-])~O=1,-0.88605527,BNNLabs
101,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c(Cl)c1O,O,O=[N+]([O-])c1cc2([N+](=O)[O-])~O~Oc1c(Cl)c2O,-4.457144708544557,BigSolDB
102,CC(=C)C,O,CC1=C~O~C1,-2.33,Esol
103,O=N(=O)c1cccc(c1)N(=O)=O,O,O=[N+]1[O-]~O~c2([N+](=O)[O-])cccc1c2,-2.29,Esol
104,O=C(NCCO[N+](=O)[O-])c1cccnc1,CCO,CC1~N(C(=O)c2cccnc2)CCO[N+](=O)([O-])~O1,-2.814741234703415,BigSolDB
105,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,CCCO,C#C[C@@]12CC[C@H]3[C@@H]4CCC5=CC(=O)(~OC(CC)~O1)CC[C@@H]5[C@H]4C(=C)C[C@@]32CC,-2.344861565188618,BigSolDB
106,O=[N+]([O-])N(CCO)CCO.O=[N+]([O-])O.O=[N+]([O-])O,CC(C)=O,CC(C)(=O~[N+](=O)([O-])O)~OCCN(CCO)[N+](=O)[O-].O=[N+]([O-])O,-0.6299497629251318,BigSolDB
107,N=C(Nc1ccccc1)Nc1ccccc1,CCOC(C)=O,CCO1~C(=N)(Nc2ccccc2)N(c2ccccc2)~C1(C)=O,-1.5559552040819238,BigSolDB
108,NCCCCCC(=O)O,O,NCCCCCC1(=O)~O~O1,-0.9271804875753322,BigSolDB
109,CC(=O)NCC(=O)O,O,CC(=O)NCC1(=O)~O~O1,-2.4091581652183973,BigSolDB
110,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,CCCO,CCC1~OC2(~O1)CC[C@@]1(C)C(=CC[C@@H]3[C@@H]1CC[C@]1(C)C(c4cccnc4)=CC[C@@H]31)C2,-2.750535030948725,BigSolDB
111,O=c1cc(CO)occ1O,CO,O=c12~OC~Oc1coc(CO)c2,-2.3075937651663696,BigSolDB
112,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4C[C@H]3C[C@@H]12,CCOC(C)=O,CCO1~C(N)(=O)C2=C(O~C1(C)=O)[C@@]1(O)C(=O)C3=C(O)c4c(O)cccc4C[C@H]3C[C@H]1[C@H](N(C)C)C2=O,-3.494850021680094,BigSolDB
113,NS(=O)(=O)Cc1noc2ccccc12,CCCCO,CCCC1~o2nc(c3ccccc32)CS(N)(=O)(=O)~O1,-3.769551078621726,BigSolDB
114,CCOC(=O)Nc2cccc(OC(=O)Nc1ccccc1)c2 ,O,CCO1~O~C(=O)(Nc2ccccc2)Oc2cccc(c2)NC1=O,-4.632,Esol
115,Cc1cccc(C(=O)O)c1N,CC(C)=O,Cc1cccc(C2(=O)~O=C(C)(C)~O2)c1N,-1.1276688787697493,BigSolDB
116,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O,O=c1c(C2(=O)~O~O2)cn(C2CC2)c2cc(N3CCNCC3)c(F)cc12,-5.445631999009913,BigSolDB
117,O=C(O)c1cccnc1Cl,CO,O=C1(c2cccnc2Cl)~OC~O1,-2.6435916729610187,BigSolDB
118,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CO,COc1cc2cc(c1OC)O(C)~CO~c1(N)ncc(c(N)n1)C2,-3.0818647738336407,BigSolDB
119,O=C1C=CC(=O)O1,CC#N,CC1~O2C(=O)C=CC2(=O)~N#1,-1.92009553233328,BigSolDB
120,O=P([O-])([O-])OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O.[Na+].[Na+],CC(C)=O,CC(C)(=O~[Na+])~[O-]P(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O.[Na+],-3.894489815230026,BigSolDB
121,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](O)C2,CCO,CC1~OC2(~O1)C[C@H]1CC[C@]2(C)C1(C)C,-0.9503943874050268,BigSolDB
122,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,CO,O=c12~OC~[nH]3c4c(c5ccccc53)CCn1c-4nc1ccccc12,-4.17986424812957,BigSolDB
123,O=C1N=c2ccccc2=N1,CO,c1ccc2c(c1)=NC1(~OC~O=1)N=2,-2.60010140335154,BigSolDB
124,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CCO,CCCSc12~OC(C)~OCCO[C@H]3C[C@H]([C@H](O)[C@@H]3O)n3nnc(c(N[C@@H]4C[C@H]4c4ccc(F)c(F)c4)n1)c3n2,-2.5015515968260003,BigSolDB
125,CC=C(C)C,O,CC1=C(C)~O~C1,-2.56,Esol
126,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,O,CC(C)O1~O~c2(=O)oc(C(C)(C)C)nn2-c2cc1c(Cl)cc2Cl,-5.696000000000001,Esol
127,CN1Cc2c(ccc3c2OCO3)[C@H]2[C@H](Cc3cc4c(cc3[C@@H]12)OCO4)O,CCO,CC1~O2COc3cc4c(cc32)C[C@H](O)[C@@H]2c3ccc5c(c3CN(C)[C@H]42)OC(~O1)O5,-2.196053303,BNNLabs
128,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F,CC(C)=O,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.Cc1c2cccc1C(F)(F)(F)~O=C(C)(C)~OC(=O)c1cccnc1N2,-3.113509274827518,BigSolDB
129,O=C1OC(=O)c2cc(Cl)ccc21,CO,O=C1c2ccc(Cl)cc2C2(=O)~OC~O12,-1.071655364735138,BigSolDB
130,O=C(O)c1ccncc1,CCCO,CCC1~OC(=O)(c2ccncc2)~O1,-3.274578449925741,BigSolDB
131,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,O,CCN(CC)c12~O~N(C(C)C)c(nc(Cl)n1)n2,-3.785,Esol
132,O=C(O)[C@@H]1C[C@@H](O)CN1,CC(C)O,CC1(C)~OC(=O)([C@@H]2C[C@@H](O)CN2)~O1,-4.455931955649724,BigSolDB
133,O=C(Nc1ccccc1)c1ccccc1,CCCCO,CCCC1~N(c2ccccc2)C(=O)(c2ccccc2)~O1,-2.5543957967264026,BigSolDB
134,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,CO,Nc12~OC~Nc(n1)c(-c1cccc(Cl)c1Cl)nn2,-3.7115271994002175,BigSolDB
135,CCCCCCCBr,O,CCCCCCC1~O~Br1,-4.43,Esol
136,O=C(O)Cc1c[nH]c2ccccc12,CCOC(C)=O,CCO1~C(=O)(Cc2c[nH]c3ccccc23)O~C1(C)=O,-4.463189134008458,BigSolDB
137,OC1=C2C=CC=CC2=C(O)C(=C1)P1(=O)OC2=CC=CC=C2C2=CC=CC=C12,CC(=O)C,CC1(C)~Oc2cc(c(O)c3ccccc23)P2(=O)(~O=1)Oc1ccccc1-c1ccccc12,-1.900236048,BNNLabs
138,CCCCC(=O)N(c1ccc(cc1)N(C)C)C(=O)Nc1ccc(cc1)N(C)C,CCO,CCCCC(=O)N(c1ccc(N(C)C)cc1)C1(=O)~OC(C)~N(C)(C)c2ccc(cc2)N1,-2.685396149,BNNLabs
139,Cc1cc(ccc1OCC(=O)Nc1ccccc1)Cl,CCO,Cc1cc(Cl)ccc1O1~C(C)O~C(=O)(Nc2ccccc2)C1,-1.399099211,BNNLabs
140,CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],CC#N,CCCc1ncc(C(~N#C(C)~[Cl-])[n+]2ccccc2C)c(N)n1.Cl,-5.142667503568732,BigSolDB
